TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
24870,9960,2,15,25,50,18446744073709551615,GuoPibri,1
24050,9960,2,15,25,50,18446744073709551615,GuoPibri,2
16938,9960,2,15,25,50,18446744073709551615,GuoPibri,3
21022,9960,2,15,25,50,18446744073709551615,GuoPibri,4
16519,9960,2,15,25,50,18446744073709551615,GuoPibri,5
14655,9960,2,15,25,50,18446744073709551615,GuoPibri,6
13868,9960,2,15,25,50,18446744073709551615,GuoPibri,7
14027,9960,2,15,25,50,18446744073709551615,GuoPibri,8
13826,9960,2,15,25,50,18446744073709551615,GuoPibri,9
13870,9960,2,15,25,50,18446744073709551615,GuoPibri,10
