TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
20894,9960,2,15,25,1000,18446744073709551615,MAMod,1
26637,9960,2,15,25,1000,18446744073709551615,MAMod,2
19493,9960,2,15,25,1000,18446744073709551615,MAMod,3
17233,9960,2,15,25,1000,18446744073709551615,MAMod,4
17121,9960,2,15,25,1000,18446744073709551615,MAMod,5
20790,9960,2,15,25,1000,18446744073709551615,MAMod,6
20660,9960,2,15,25,1000,18446744073709551615,MAMod,7
19958,9960,2,15,25,1000,18446744073709551615,MAMod,8
18105,9960,2,15,25,1000,18446744073709551615,MAMod,9
17212,9960,2,15,25,1000,18446744073709551615,MAMod,10
