TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
23844,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
25663,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
20377,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
15769,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
22607,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
14007,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
14032,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
15304,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
14060,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
14116,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
