TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
233104,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
226233,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
229675,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
247579,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
256203,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
291707,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
230498,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
231629,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
220257,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
214486,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
