TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
20210,9960,2,15,25,50,18446744073709551615,Shen,1
21284,9960,2,15,25,50,18446744073709551615,Shen,2
14803,9960,2,15,25,50,18446744073709551615,Shen,3
14168,9960,2,15,25,50,18446744073709551615,Shen,4
13993,9960,2,15,25,50,18446744073709551615,Shen,5
13729,9960,2,15,25,50,18446744073709551615,Shen,6
13876,9960,2,15,25,50,18446744073709551615,Shen,7
13868,9960,2,15,25,50,18446744073709551615,Shen,8
13841,9960,2,15,25,50,18446744073709551615,Shen,9
14980,9960,2,15,25,50,18446744073709551615,Shen,10
