TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
27523,9960,2,15,25,50,18446744073709551615,XorVar,1
32218,9960,2,15,25,50,18446744073709551615,XorVar,2
37494,9960,2,15,25,50,18446744073709551615,XorVar,3
33040,9960,2,15,25,50,18446744073709551615,XorVar,4
34858,9960,2,15,25,50,18446744073709551615,XorVar,5
27840,9960,2,15,25,50,18446744073709551615,XorVar,6
23217,9960,2,15,25,50,18446744073709551615,XorVar,7
24961,9960,2,15,25,50,18446744073709551615,XorVar,8
25012,9960,2,15,25,50,18446744073709551615,XorVar,9
25715,9960,2,15,25,50,18446744073709551615,XorVar,10
