TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
15183,9960,2,15,25,50,18446744073709551615,GuoPibri,1
21695,9960,2,15,25,50,18446744073709551615,GuoPibri,2
16227,9960,2,15,25,50,18446744073709551615,GuoPibri,3
13966,9960,2,15,25,50,18446744073709551615,GuoPibri,4
16640,9960,2,15,25,50,18446744073709551615,GuoPibri,5
13787,9960,2,15,25,50,18446744073709551615,GuoPibri,6
17144,9960,2,15,25,50,18446744073709551615,GuoPibri,7
22264,9960,2,15,25,50,18446744073709551615,GuoPibri,8
16865,9960,2,15,25,50,18446744073709551615,GuoPibri,9
15909,9960,2,15,25,50,18446744073709551615,GuoPibri,10
