TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
27434,9960,2,15,25,1000,18446744073709551615,MAMod,1
18168,9960,2,15,25,1000,18446744073709551615,MAMod,2
16472,9960,2,15,25,1000,18446744073709551615,MAMod,3
17737,9960,2,15,25,1000,18446744073709551615,MAMod,4
16188,9960,2,15,25,1000,18446744073709551615,MAMod,5
16047,9960,2,15,25,1000,18446744073709551615,MAMod,6
16231,9960,2,15,25,1000,18446744073709551615,MAMod,7
15948,9960,2,15,25,1000,18446744073709551615,MAMod,8
15825,9960,2,15,25,1000,18446744073709551615,MAMod,9
16036,9960,2,15,25,1000,18446744073709551615,MAMod,10
