TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
18282,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
18507,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
16041,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
14644,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
14356,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
14203,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
14422,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
14906,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
15202,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
16248,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
