TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
242489,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
229551,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
214370,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
221665,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
229040,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
243312,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
249029,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
315001,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
253048,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
289314,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
