TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
19086,9960,2,15,25,50,18446744073709551615,Shen,1
18928,9960,2,15,25,50,18446744073709551615,Shen,2
14833,9960,2,15,25,50,18446744073709551615,Shen,3
13689,9960,2,15,25,50,18446744073709551615,Shen,4
14198,9960,2,15,25,50,18446744073709551615,Shen,5
13834,9960,2,15,25,50,18446744073709551615,Shen,6
13790,9960,2,15,25,50,18446744073709551615,Shen,7
13719,9960,2,15,25,50,18446744073709551615,Shen,8
13692,9960,2,15,25,50,18446744073709551615,Shen,9
13709,9960,2,15,25,50,18446744073709551615,Shen,10
