TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
18868,9960,2,15,25,50,18446744073709551615,XorVar,1
18910,9960,2,15,25,50,18446744073709551615,XorVar,2
15998,9960,2,15,25,50,18446744073709551615,XorVar,3
14918,9960,2,15,25,50,18446744073709551615,XorVar,4
14758,9960,2,15,25,50,18446744073709551615,XorVar,5
20808,9960,2,15,25,50,18446744073709551615,XorVar,6
18637,9960,2,15,25,50,18446744073709551615,XorVar,7
16256,9960,2,15,25,50,18446744073709551615,XorVar,8
16342,9960,2,15,25,50,18446744073709551615,XorVar,9
17929,9960,2,15,25,50,18446744073709551615,XorVar,10
