TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
17476,9960,2,15,25,50,18446744073709551615,GuoPibri,1
15843,9960,2,15,25,50,18446744073709551615,GuoPibri,2
14733,9960,2,15,25,50,18446744073709551615,GuoPibri,3
13926,9960,2,15,25,50,18446744073709551615,GuoPibri,4
13880,9960,2,15,25,50,18446744073709551615,GuoPibri,5
13786,9960,2,15,25,50,18446744073709551615,GuoPibri,6
17193,9960,2,15,25,50,18446744073709551615,GuoPibri,7
13797,9960,2,15,25,50,18446744073709551615,GuoPibri,8
13877,9960,2,15,25,50,18446744073709551615,GuoPibri,9
13731,9960,2,15,25,50,18446744073709551615,GuoPibri,10
