TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
45436,9960,2,15,25,50,18446744073709551615,LiuPatroLi,1
46618,9960,2,15,25,50,18446744073709551615,LiuPatroLi,2
42872,9960,2,15,25,50,18446744073709551615,LiuPatroLi,3
38706,9960,2,15,25,50,18446744073709551615,LiuPatroLi,4
36934,9960,2,15,25,50,18446744073709551615,LiuPatroLi,5
37797,9960,2,15,25,50,18446744073709551615,LiuPatroLi,6
48944,9960,2,15,25,50,18446744073709551615,LiuPatroLi,7
48366,9960,2,15,25,50,18446744073709551615,LiuPatroLi,8
34409,9960,2,15,25,50,18446744073709551615,LiuPatroLi,9
33779,9960,2,15,25,50,18446744073709551615,LiuPatroLi,10
