TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
23843,9960,2,15,25,1000,18446744073709551615,MAMod,1
26550,9960,2,15,25,1000,18446744073709551615,MAMod,2
20896,9960,2,15,25,1000,18446744073709551615,MAMod,3
20758,9960,2,15,25,1000,18446744073709551615,MAMod,4
18135,9960,2,15,25,1000,18446744073709551615,MAMod,5
18016,9960,2,15,25,1000,18446744073709551615,MAMod,6
17991,9960,2,15,25,1000,18446744073709551615,MAMod,7
18146,9960,2,15,25,1000,18446744073709551615,MAMod,8
18075,9960,2,15,25,1000,18446744073709551615,MAMod,9
19147,9960,2,15,25,1000,18446744073709551615,MAMod,10
