TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
18112,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
21095,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
15367,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
14533,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
14365,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
14700,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
15131,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
18238,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
15219,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
15062,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
