TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
255322,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
239993,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
219334,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
220869,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
269032,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
262475,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
226882,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
227071,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
219516,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
275305,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
