TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
16613,9960,2,15,25,50,18446744073709551615,Shen,1
21476,9960,2,15,25,50,18446744073709551615,Shen,2
14835,9960,2,15,25,50,18446744073709551615,Shen,3
14099,9960,2,15,25,50,18446744073709551615,Shen,4
13896,9960,2,15,25,50,18446744073709551615,Shen,5
14017,9960,2,15,25,50,18446744073709551615,Shen,6
13868,9960,2,15,25,50,18446744073709551615,Shen,7
13849,9960,2,15,25,50,18446744073709551615,Shen,8
13756,9960,2,15,25,50,18446744073709551615,Shen,9
13992,9960,2,15,25,50,18446744073709551615,Shen,10
