TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
29424,9960,2,15,25,50,18446744073709551615,XorVar,1
22638,9960,2,15,25,50,18446744073709551615,XorVar,2
18591,9960,2,15,25,50,18446744073709551615,XorVar,3
18791,9960,2,15,25,50,18446744073709551615,XorVar,4
18627,9960,2,15,25,50,18446744073709551615,XorVar,5
18757,9960,2,15,25,50,18446744073709551615,XorVar,6
18916,9960,2,15,25,50,18446744073709551615,XorVar,7
18921,9960,2,15,25,50,18446744073709551615,XorVar,8
22881,9960,2,15,25,50,18446744073709551615,XorVar,9
30367,9960,2,15,25,50,18446744073709551615,XorVar,10
