TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
6309,60,2,15,25,50,18446744073709551615,GuoPibri,1
6072,60,2,15,25,50,18446744073709551615,GuoPibri,2
6456,60,2,15,25,50,18446744073709551615,GuoPibri,3
11941,60,2,15,25,50,18446744073709551615,GuoPibri,4
5902,60,2,15,25,50,18446744073709551615,GuoPibri,5
40861,60,2,15,25,50,18446744073709551615,GuoPibri,6
9410,60,2,15,25,50,18446744073709551615,GuoPibri,7
6736,60,2,15,25,50,18446744073709551615,GuoPibri,8
6350,60,2,15,25,50,18446744073709551615,GuoPibri,9
42252,60,2,15,25,50,18446744073709551615,GuoPibri,10
14755,60,2,15,25,50,18446744073709551615,GuoPibri,11
5886,60,2,15,25,50,18446744073709551615,GuoPibri,12
39515,60,2,15,25,50,18446744073709551615,GuoPibri,13
19201,60,2,15,25,50,18446744073709551615,GuoPibri,14
8204,60,2,15,25,50,18446744073709551615,GuoPibri,15
12160,60,2,15,25,50,18446744073709551615,GuoPibri,16
6219,60,2,15,25,50,18446744073709551615,GuoPibri,17
42146,60,2,15,25,50,18446744073709551615,GuoPibri,18
11431,60,2,15,25,50,18446744073709551615,GuoPibri,19
7924,60,2,15,25,50,18446744073709551615,GuoPibri,20
39395,60,2,15,25,50,18446744073709551615,GuoPibri,21
6274,60,2,15,25,50,18446744073709551615,GuoPibri,22
9026,60,2,15,25,50,18446744073709551615,GuoPibri,23
6058,60,2,15,25,50,18446744073709551615,GuoPibri,24
78492,60,2,15,25,50,18446744073709551615,GuoPibri,25
9435,60,2,15,25,50,18446744073709551615,GuoPibri,26
6389,60,2,15,25,50,18446744073709551615,GuoPibri,27
7085,60,2,15,25,50,18446744073709551615,GuoPibri,28
46833,60,2,15,25,50,18446744073709551615,GuoPibri,29
7138,60,2,15,25,50,18446744073709551615,GuoPibri,30
8989,60,2,15,25,50,18446744073709551615,GuoPibri,31
7253,60,2,15,25,50,18446744073709551615,GuoPibri,32
71998,60,2,15,25,50,18446744073709551615,GuoPibri,33
7317,60,2,15,25,50,18446744073709551615,GuoPibri,34
7352,60,2,15,25,50,18446744073709551615,GuoPibri,35
6785,60,2,15,25,50,18446744073709551615,GuoPibri,36
60754,60,2,15,25,50,18446744073709551615,GuoPibri,37
6610,60,2,15,25,50,18446744073709551615,GuoPibri,38
8235,60,2,15,25,50,18446744073709551615,GuoPibri,39
9570,60,2,15,25,50,18446744073709551615,GuoPibri,40
53190,60,2,15,25,50,18446744073709551615,GuoPibri,41
5874,60,2,15,25,50,18446744073709551615,GuoPibri,42
7417,60,2,15,25,50,18446744073709551615,GuoPibri,43
7520,60,2,15,25,50,18446744073709551615,GuoPibri,44
47641,60,2,15,25,50,18446744073709551615,GuoPibri,45
10343,60,2,15,25,50,18446744073709551615,GuoPibri,46
7107,60,2,15,25,50,18446744073709551615,GuoPibri,47
266302,60,2,15,25,50,18446744073709551615,GuoPibri,48
7712,60,2,15,25,50,18446744073709551615,GuoPibri,49
