TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
37745,9960,2,15,25,50,18446744073709551615,LiuPatroLi,1
32491,9960,2,15,25,50,18446744073709551615,LiuPatroLi,2
26108,9960,2,15,25,50,18446744073709551615,LiuPatroLi,3
23391,9960,2,15,25,50,18446744073709551615,LiuPatroLi,4
23426,9960,2,15,25,50,18446744073709551615,LiuPatroLi,5
35852,9960,2,15,25,50,18446744073709551615,LiuPatroLi,6
30309,9960,2,15,25,50,18446744073709551615,LiuPatroLi,7
36147,9960,2,15,25,50,18446744073709551615,LiuPatroLi,8
36858,9960,2,15,25,50,18446744073709551615,LiuPatroLi,9
34468,9960,2,15,25,50,18446744073709551615,LiuPatroLi,10
