TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
23066,9960,2,15,25,1000,18446744073709551615,MAMod,1
20119,9960,2,15,25,1000,18446744073709551615,MAMod,2
19654,9960,2,15,25,1000,18446744073709551615,MAMod,3
20093,9960,2,15,25,1000,18446744073709551615,MAMod,4
17594,9960,2,15,25,1000,18446744073709551615,MAMod,5
17512,9960,2,15,25,1000,18446744073709551615,MAMod,6
17382,9960,2,15,25,1000,18446744073709551615,MAMod,7
19112,9960,2,15,25,1000,18446744073709551615,MAMod,8
26599,9960,2,15,25,1000,18446744073709551615,MAMod,9
19582,9960,2,15,25,1000,18446744073709551615,MAMod,10
