TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
18958,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
22346,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
17615,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
15458,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
14986,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
14909,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
16346,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
16128,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
15263,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
18092,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
