TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
349594,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
223589,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
225295,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
230974,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
279551,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
296240,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
224085,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
228453,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
219564,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
226672,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
