TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
9041,60,2,15,25,50,18446744073709551615,Shen,1
7421,60,2,15,25,50,18446744073709551615,Shen,2
7332,60,2,15,25,50,18446744073709551615,Shen,3
7465,60,2,15,25,50,18446744073709551615,Shen,4
9421,60,2,15,25,50,18446744073709551615,Shen,5
65942,60,2,15,25,50,18446744073709551615,Shen,6
11067,60,2,15,25,50,18446744073709551615,Shen,7
6231,60,2,15,25,50,18446744073709551615,Shen,8
53437,60,2,15,25,50,18446744073709551615,Shen,9
9108,60,2,15,25,50,18446744073709551615,Shen,10
11650,60,2,15,25,50,18446744073709551615,Shen,11
9383,60,2,15,25,50,18446744073709551615,Shen,12
32699,60,2,15,25,50,18446744073709551615,Shen,13
15542,60,2,15,25,50,18446744073709551615,Shen,14
9733,60,2,15,25,50,18446744073709551615,Shen,15
13105,60,2,15,25,50,18446744073709551615,Shen,16
56768,60,2,15,25,50,18446744073709551615,Shen,17
9906,60,2,15,25,50,18446744073709551615,Shen,18
5640,60,2,15,25,50,18446744073709551615,Shen,19
69955,60,2,15,25,50,18446744073709551615,Shen,20
6343,60,2,15,25,50,18446744073709551615,Shen,21
12321,60,2,15,25,50,18446744073709551615,Shen,22
5454,60,2,15,25,50,18446744073709551615,Shen,23
66840,60,2,15,25,50,18446744073709551615,Shen,24
10430,60,2,15,25,50,18446744073709551615,Shen,25
10003,60,2,15,25,50,18446744073709551615,Shen,26
10750,60,2,15,25,50,18446744073709551615,Shen,27
34373,60,2,15,25,50,18446744073709551615,Shen,28
11919,60,2,15,25,50,18446744073709551615,Shen,29
9440,60,2,15,25,50,18446744073709551615,Shen,30
6237,60,2,15,25,50,18446744073709551615,Shen,31
51345,60,2,15,25,50,18446744073709551615,Shen,32
5478,60,2,15,25,50,18446744073709551615,Shen,33
6779,60,2,15,25,50,18446744073709551615,Shen,34
65669,60,2,15,25,50,18446744073709551615,Shen,35
5873,60,2,15,25,50,18446744073709551615,Shen,36
7078,60,2,15,25,50,18446744073709551615,Shen,37
5878,60,2,15,25,50,18446744073709551615,Shen,38
54361,60,2,15,25,50,18446744073709551615,Shen,39
7585,60,2,15,25,50,18446744073709551615,Shen,40
10775,60,2,15,25,50,18446744073709551615,Shen,41
9746,60,2,15,25,50,18446744073709551615,Shen,42
43159,60,2,15,25,50,18446744073709551615,Shen,43
5933,60,2,15,25,50,18446744073709551615,Shen,44
5899,60,2,15,25,50,18446744073709551615,Shen,45
5915,60,2,15,25,50,18446744073709551615,Shen,46
62832,60,2,15,25,50,18446744073709551615,Shen,47
8644,60,2,15,25,50,18446744073709551615,Shen,48
5996,60,2,15,25,50,18446744073709551615,Shen,49
72158,60,2,15,25,50,18446744073709551615,Shen,50
8021,60,2,15,25,50,18446744073709551615,Shen,51
6368,60,2,15,25,50,18446744073709551615,Shen,52
9826,60,2,15,25,50,18446744073709551615,Shen,53
45366,60,2,15,25,50,18446744073709551615,Shen,54
17510,60,2,15,25,50,18446744073709551615,Shen,55
13147,60,2,15,25,50,18446744073709551615,Shen,56
7524,60,2,15,25,50,18446744073709551615,Shen,57
35684,60,2,15,25,50,18446744073709551615,Shen,58
12199,60,2,15,25,50,18446744073709551615,Shen,59
6074,60,2,15,25,50,18446744073709551615,Shen,60
42446,60,2,15,25,50,18446744073709551615,Shen,61
6181,60,2,15,25,50,18446744073709551615,Shen,62
14346,60,2,15,25,50,18446744073709551615,Shen,63
9087,60,2,15,25,50,18446744073709551615,Shen,64
48971,60,2,15,25,50,18446744073709551615,Shen,65
10633,60,2,15,25,50,18446744073709551615,Shen,66
9479,60,2,15,25,50,18446744073709551615,Shen,67
6049,60,2,15,25,50,18446744073709551615,Shen,68
63997,60,2,15,25,50,18446744073709551615,Shen,69
11939,60,2,15,25,50,18446744073709551615,Shen,70
12651,60,2,15,25,50,18446744073709551615,Shen,71
49049,60,2,15,25,50,18446744073709551615,Shen,72
6483,60,2,15,25,50,18446744073709551615,Shen,73
5707,60,2,15,25,50,18446744073709551615,Shen,74
11074,60,2,15,25,50,18446744073709551615,Shen,75
55146,60,2,15,25,50,18446744073709551615,Shen,76
10815,60,2,15,25,50,18446744073709551615,Shen,77
5868,60,2,15,25,50,18446744073709551615,Shen,78
5775,60,2,15,25,50,18446744073709551615,Shen,79
56212,60,2,15,25,50,18446744073709551615,Shen,80
11519,60,2,15,25,50,18446744073709551615,Shen,81
6466,60,2,15,25,50,18446744073709551615,Shen,82
6778,60,2,15,25,50,18446744073709551615,Shen,83
85334,60,2,15,25,50,18446744073709551615,Shen,84
17845,60,2,15,25,50,18446744073709551615,Shen,85
8107,60,2,15,25,50,18446744073709551615,Shen,86
14199,60,2,15,25,50,18446744073709551615,Shen,87
87083,60,2,15,25,50,18446744073709551615,Shen,88
27958,60,2,15,25,50,18446744073709551615,Shen,89
13625,60,2,15,25,50,18446744073709551615,Shen,90
18896,60,2,15,25,50,18446744073709551615,Shen,91
17381,60,2,15,25,50,18446744073709551615,Shen,92
45853,60,2,15,25,50,18446744073709551615,Shen,93
5957,60,2,15,25,50,18446744073709551615,Shen,94
7385,60,2,15,25,50,18446744073709551615,Shen,95
7262,60,2,15,25,50,18446744073709551615,Shen,96
226789,60,2,15,25,50,18446744073709551615,Shen,97
11610,60,2,15,25,50,18446744073709551615,Shen,98
11861,60,2,15,25,50,18446744073709551615,Shen,99
12678,60,2,15,25,50,18446744073709551615,Shen,100
