TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
37741,9960,2,15,25,50,18446744073709551615,XorVar,1
28010,9960,2,15,25,50,18446744073709551615,XorVar,2
24406,9960,2,15,25,50,18446744073709551615,XorVar,3
20221,9960,2,15,25,50,18446744073709551615,XorVar,4
20320,9960,2,15,25,50,18446744073709551615,XorVar,5
36361,9960,2,15,25,50,18446744073709551615,XorVar,6
27763,9960,2,15,25,50,18446744073709551615,XorVar,7
26295,9960,2,15,25,50,18446744073709551615,XorVar,8
27614,9960,2,15,25,50,18446744073709551615,XorVar,9
29640,9960,2,15,25,50,18446744073709551615,XorVar,10
