TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
27306,9960,2,15,25,50,18446744073709551615,GuoPibri,1
22844,9960,2,15,25,50,18446744073709551615,GuoPibri,2
23065,9960,2,15,25,50,18446744073709551615,GuoPibri,3
21425,9960,2,15,25,50,18446744073709551615,GuoPibri,4
27995,9960,2,15,25,50,18446744073709551615,GuoPibri,5
29646,9960,2,15,25,50,18446744073709551615,GuoPibri,6
29545,9960,2,15,25,50,18446744073709551615,GuoPibri,7
31980,9960,2,15,25,50,18446744073709551615,GuoPibri,8
26661,9960,2,15,25,50,18446744073709551615,GuoPibri,9
26054,9960,2,15,25,50,18446744073709551615,GuoPibri,10
