TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
35629,9960,2,15,25,50,18446744073709551615,LiuPatroLi,1
29700,9960,2,15,25,50,18446744073709551615,LiuPatroLi,2
29681,9960,2,15,25,50,18446744073709551615,LiuPatroLi,3
27693,9960,2,15,25,50,18446744073709551615,LiuPatroLi,4
27620,9960,2,15,25,50,18446744073709551615,LiuPatroLi,5
45212,9960,2,15,25,50,18446744073709551615,LiuPatroLi,6
45936,9960,2,15,25,50,18446744073709551615,LiuPatroLi,7
35418,9960,2,15,25,50,18446744073709551615,LiuPatroLi,8
29244,9960,2,15,25,50,18446744073709551615,LiuPatroLi,9
28379,9960,2,15,25,50,18446744073709551615,LiuPatroLi,10
