TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
27959,9960,2,15,25,1000,18446744073709551615,MAMod,1
22913,9960,2,15,25,1000,18446744073709551615,MAMod,2
21570,9960,2,15,25,1000,18446744073709551615,MAMod,3
19643,9960,2,15,25,1000,18446744073709551615,MAMod,4
18768,9960,2,15,25,1000,18446744073709551615,MAMod,5
19484,9960,2,15,25,1000,18446744073709551615,MAMod,6
18989,9960,2,15,25,1000,18446744073709551615,MAMod,7
18291,9960,2,15,25,1000,18446744073709551615,MAMod,8
19053,9960,2,15,25,1000,18446744073709551615,MAMod,9
25490,9960,2,15,25,1000,18446744073709551615,MAMod,10
