TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
792,60,2,15,25,50,18446744073709551615,SahlinBitCount,1
814,60,2,15,25,50,18446744073709551615,SahlinBitCount,2
792,60,2,15,25,50,18446744073709551615,SahlinBitCount,3
793,60,2,15,25,50,18446744073709551615,SahlinBitCount,4
775,60,2,15,25,50,18446744073709551615,SahlinBitCount,5
818,60,2,15,25,50,18446744073709551615,SahlinBitCount,6
788,60,2,15,25,50,18446744073709551615,SahlinBitCount,7
3450,60,2,15,25,50,18446744073709551615,SahlinBitCount,8
763,60,2,15,25,50,18446744073709551615,SahlinBitCount,9
764,60,2,15,25,50,18446744073709551615,SahlinBitCount,10
761,60,2,15,25,50,18446744073709551615,SahlinBitCount,11
4224,60,2,15,25,50,18446744073709551615,SahlinBitCount,12
795,60,2,15,25,50,18446744073709551615,SahlinBitCount,13
748,60,2,15,25,50,18446744073709551615,SahlinBitCount,14
669,60,2,15,25,50,18446744073709551615,SahlinBitCount,15
676,60,2,15,25,50,18446744073709551615,SahlinBitCount,16
653,60,2,15,25,50,18446744073709551615,SahlinBitCount,17
748,60,2,15,25,50,18446744073709551615,SahlinBitCount,18
715,60,2,15,25,50,18446744073709551615,SahlinBitCount,19
667,60,2,15,25,50,18446744073709551615,SahlinBitCount,20
697,60,2,15,25,50,18446744073709551615,SahlinBitCount,21
652,60,2,15,25,50,18446744073709551615,SahlinBitCount,22
712,60,2,15,25,50,18446744073709551615,SahlinBitCount,23
642,60,2,15,25,50,18446744073709551615,SahlinBitCount,24
634,60,2,15,25,50,18446744073709551615,SahlinBitCount,25
604,60,2,15,25,50,18446744073709551615,SahlinBitCount,26
554,60,2,15,25,50,18446744073709551615,SahlinBitCount,27
800,60,2,15,25,50,18446744073709551615,SahlinBitCount,28
900,60,2,15,25,50,18446744073709551615,SahlinBitCount,29
966,60,2,15,25,50,18446744073709551615,SahlinBitCount,30
792,60,2,15,25,50,18446744073709551615,SahlinBitCount,31
751,60,2,15,25,50,18446744073709551615,SahlinBitCount,32
721,60,2,15,25,50,18446744073709551615,SahlinBitCount,33
775,60,2,15,25,50,18446744073709551615,SahlinBitCount,34
721,60,2,15,25,50,18446744073709551615,SahlinBitCount,35
690,60,2,15,25,50,18446744073709551615,SahlinBitCount,36
695,60,2,15,25,50,18446744073709551615,SahlinBitCount,37
781,60,2,15,25,50,18446744073709551615,SahlinBitCount,38
764,60,2,15,25,50,18446744073709551615,SahlinBitCount,39
773,60,2,15,25,50,18446744073709551615,SahlinBitCount,40
755,60,2,15,25,50,18446744073709551615,SahlinBitCount,41
758,60,2,15,25,50,18446744073709551615,SahlinBitCount,42
778,60,2,15,25,50,18446744073709551615,SahlinBitCount,43
811,60,2,15,25,50,18446744073709551615,SahlinBitCount,44
781,60,2,15,25,50,18446744073709551615,SahlinBitCount,45
766,60,2,15,25,50,18446744073709551615,SahlinBitCount,46
743,60,2,15,25,50,18446744073709551615,SahlinBitCount,47
771,60,2,15,25,50,18446744073709551615,SahlinBitCount,48
894,60,2,15,25,50,18446744073709551615,SahlinBitCount,49
759,60,2,15,25,50,18446744073709551615,SahlinBitCount,50
705,60,2,15,25,50,18446744073709551615,SahlinBitCount,51
662,60,2,15,25,50,18446744073709551615,SahlinBitCount,52
747,60,2,15,25,50,18446744073709551615,SahlinBitCount,53
800,60,2,15,25,50,18446744073709551615,SahlinBitCount,54
845,60,2,15,25,50,18446744073709551615,SahlinBitCount,55
845,60,2,15,25,50,18446744073709551615,SahlinBitCount,56
814,60,2,15,25,50,18446744073709551615,SahlinBitCount,57
801,60,2,15,25,50,18446744073709551615,SahlinBitCount,58
841,60,2,15,25,50,18446744073709551615,SahlinBitCount,59
809,60,2,15,25,50,18446744073709551615,SahlinBitCount,60
1065,60,2,15,25,50,18446744073709551615,SahlinBitCount,61
792,60,2,15,25,50,18446744073709551615,SahlinBitCount,62
814,60,2,15,25,50,18446744073709551615,SahlinBitCount,63
942,60,2,15,25,50,18446744073709551615,SahlinBitCount,64
3301,60,2,15,25,50,18446744073709551615,SahlinBitCount,65
729,60,2,15,25,50,18446744073709551615,SahlinBitCount,66
1109,60,2,15,25,50,18446744073709551615,SahlinBitCount,67
706,60,2,15,25,50,18446744073709551615,SahlinBitCount,68
626,60,2,15,25,50,18446744073709551615,SahlinBitCount,69
687,60,2,15,25,50,18446744073709551615,SahlinBitCount,70
761,60,2,15,25,50,18446744073709551615,SahlinBitCount,71
712,60,2,15,25,50,18446744073709551615,SahlinBitCount,72
823,60,2,15,25,50,18446744073709551615,SahlinBitCount,73
781,60,2,15,25,50,18446744073709551615,SahlinBitCount,74
798,60,2,15,25,50,18446744073709551615,SahlinBitCount,75
682,60,2,15,25,50,18446744073709551615,SahlinBitCount,76
676,60,2,15,25,50,18446744073709551615,SahlinBitCount,77
1005,60,2,15,25,50,18446744073709551615,SahlinBitCount,78
693,60,2,15,25,50,18446744073709551615,SahlinBitCount,79
743,60,2,15,25,50,18446744073709551615,SahlinBitCount,80
677,60,2,15,25,50,18446744073709551615,SahlinBitCount,81
661,60,2,15,25,50,18446744073709551615,SahlinBitCount,82
662,60,2,15,25,50,18446744073709551615,SahlinBitCount,83
668,60,2,15,25,50,18446744073709551615,SahlinBitCount,84
2702,60,2,15,25,50,18446744073709551615,SahlinBitCount,85
679,60,2,15,25,50,18446744073709551615,SahlinBitCount,86
1668,60,2,15,25,50,18446744073709551615,SahlinBitCount,87
628,60,2,15,25,50,18446744073709551615,SahlinBitCount,88
773,60,2,15,25,50,18446744073709551615,SahlinBitCount,89
689,60,2,15,25,50,18446744073709551615,SahlinBitCount,90
678,60,2,15,25,50,18446744073709551615,SahlinBitCount,91
997,60,2,15,25,50,18446744073709551615,SahlinBitCount,92
651,60,2,15,25,50,18446744073709551615,SahlinBitCount,93
1008,60,2,15,25,50,18446744073709551615,SahlinBitCount,94
726,60,2,15,25,50,18446744073709551615,SahlinBitCount,95
1858,60,2,15,25,50,18446744073709551615,SahlinBitCount,96
694,60,2,15,25,50,18446744073709551615,SahlinBitCount,97
711,60,2,15,25,50,18446744073709551615,SahlinBitCount,98
688,60,2,15,25,50,18446744073709551615,SahlinBitCount,99
497,60,2,15,25,50,18446744073709551615,SahlinBitCount,100
