TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
255220,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
255983,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
236439,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
220139,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
240640,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
306892,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
231487,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
221739,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
225351,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
220344,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
