TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
30905,9960,2,15,25,50,18446744073709551615,Shen,1
22533,9960,2,15,25,50,18446744073709551615,Shen,2
20755,9960,2,15,25,50,18446744073709551615,Shen,3
16401,9960,2,15,25,50,18446744073709551615,Shen,4
16343,9960,2,15,25,50,18446744073709551615,Shen,5
16353,9960,2,15,25,50,18446744073709551615,Shen,6
17517,9960,2,15,25,50,18446744073709551615,Shen,7
31326,9960,2,15,25,50,18446744073709551615,Shen,8
28891,9960,2,15,25,50,18446744073709551615,Shen,9
29771,9960,2,15,25,50,18446744073709551615,Shen,10
