TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
44472,9960,2,15,25,50,18446744073709551615,XorVar,1
41652,9960,2,15,25,50,18446744073709551615,XorVar,2
38121,9960,2,15,25,50,18446744073709551615,XorVar,3
43619,9960,2,15,25,50,18446744073709551615,XorVar,4
37346,9960,2,15,25,50,18446744073709551615,XorVar,5
39281,9960,2,15,25,50,18446744073709551615,XorVar,6
43200,9960,2,15,25,50,18446744073709551615,XorVar,7
41159,9960,2,15,25,50,18446744073709551615,XorVar,8
43494,9960,2,15,25,50,18446744073709551615,XorVar,9
39875,9960,2,15,25,50,18446744073709551615,XorVar,10
