TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
19715,9960,2,15,25,50,18446744073709551615,GuoPibri,1
24329,9960,2,15,25,50,18446744073709551615,GuoPibri,2
20961,9960,2,15,25,50,18446744073709551615,GuoPibri,3
18102,9960,2,15,25,50,18446744073709551615,GuoPibri,4
16482,9960,2,15,25,50,18446744073709551615,GuoPibri,5
16896,9960,2,15,25,50,18446744073709551615,GuoPibri,6
14812,9960,2,15,25,50,18446744073709551615,GuoPibri,7
14727,9960,2,15,25,50,18446744073709551615,GuoPibri,8
15998,9960,2,15,25,50,18446744073709551615,GuoPibri,9
15770,9960,2,15,25,50,18446744073709551615,GuoPibri,10
