TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
39728,9960,2,15,25,50,18446744073709551615,LiuPatroLi,1
32504,9960,2,15,25,50,18446744073709551615,LiuPatroLi,2
29770,9960,2,15,25,50,18446744073709551615,LiuPatroLi,3
28751,9960,2,15,25,50,18446744073709551615,LiuPatroLi,4
31588,9960,2,15,25,50,18446744073709551615,LiuPatroLi,5
28071,9960,2,15,25,50,18446744073709551615,LiuPatroLi,6
37020,9960,2,15,25,50,18446744073709551615,LiuPatroLi,7
47535,9960,2,15,25,50,18446744073709551615,LiuPatroLi,8
47067,9960,2,15,25,50,18446744073709551615,LiuPatroLi,9
37322,9960,2,15,25,50,18446744073709551615,LiuPatroLi,10
