TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
30153,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
24348,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
22648,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
18839,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
21139,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
32008,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
33441,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
33017,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
38424,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
39129,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
