TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
257344,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
277186,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
261916,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
244439,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
345808,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
259150,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
238857,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
241507,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
219798,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
219715,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
