TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
24590,9960,2,15,25,50,18446744073709551615,Shen,1
27486,9960,2,15,25,50,18446744073709551615,Shen,2
23159,9960,2,15,25,50,18446744073709551615,Shen,3
21582,9960,2,15,25,50,18446744073709551615,Shen,4
23965,9960,2,15,25,50,18446744073709551615,Shen,5
31280,9960,2,15,25,50,18446744073709551615,Shen,6
35607,9960,2,15,25,50,18446744073709551615,Shen,7
30912,9960,2,15,25,50,18446744073709551615,Shen,8
29505,9960,2,15,25,50,18446744073709551615,Shen,9
30383,9960,2,15,25,50,18446744073709551615,Shen,10
