TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
45507,9960,2,15,25,50,18446744073709551615,XorVar,1
40733,9960,2,15,25,50,18446744073709551615,XorVar,2
31833,9960,2,15,25,50,18446744073709551615,XorVar,3
58532,9960,2,15,25,50,18446744073709551615,XorVar,4
58449,9960,2,15,25,50,18446744073709551615,XorVar,5
54554,9960,2,15,25,50,18446744073709551615,XorVar,6
49993,9960,2,15,25,50,18446744073709551615,XorVar,7
55602,9960,2,15,25,50,18446744073709551615,XorVar,8
54395,9960,2,15,25,50,18446744073709551615,XorVar,9
55944,9960,2,15,25,50,18446744073709551615,XorVar,10
