TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
703,60,2,15,25,50,18446744073709551615,GuoPibri,1
662,60,2,15,25,50,18446744073709551615,GuoPibri,2
661,60,2,15,25,50,18446744073709551615,GuoPibri,3
664,60,2,15,25,50,18446744073709551615,GuoPibri,4
671,60,2,15,25,50,18446744073709551615,GuoPibri,5
658,60,2,15,25,50,18446744073709551615,GuoPibri,6
666,60,2,15,25,50,18446744073709551615,GuoPibri,7
657,60,2,15,25,50,18446744073709551615,GuoPibri,8
703,60,2,15,25,50,18446744073709551615,GuoPibri,9
661,60,2,15,25,50,18446744073709551615,GuoPibri,10
644,60,2,15,25,50,18446744073709551615,GuoPibri,11
1009,60,2,15,25,50,18446744073709551615,GuoPibri,12
685,60,2,15,25,50,18446744073709551615,GuoPibri,13
3583,60,2,15,25,50,18446744073709551615,GuoPibri,14
664,60,2,15,25,50,18446744073709551615,GuoPibri,15
672,60,2,15,25,50,18446744073709551615,GuoPibri,16
656,60,2,15,25,50,18446744073709551615,GuoPibri,17
613,60,2,15,25,50,18446744073709551615,GuoPibri,18
633,60,2,15,25,50,18446744073709551615,GuoPibri,19
635,60,2,15,25,50,18446744073709551615,GuoPibri,20
642,60,2,15,25,50,18446744073709551615,GuoPibri,21
523,60,2,15,25,50,18446744073709551615,GuoPibri,22
508,60,2,15,25,50,18446744073709551615,GuoPibri,23
516,60,2,15,25,50,18446744073709551615,GuoPibri,24
515,60,2,15,25,50,18446744073709551615,GuoPibri,25
514,60,2,15,25,50,18446744073709551615,GuoPibri,26
513,60,2,15,25,50,18446744073709551615,GuoPibri,27
514,60,2,15,25,50,18446744073709551615,GuoPibri,28
516,60,2,15,25,50,18446744073709551615,GuoPibri,29
625,60,2,15,25,50,18446744073709551615,GuoPibri,30
510,60,2,15,25,50,18446744073709551615,GuoPibri,31
586,60,2,15,25,50,18446744073709551615,GuoPibri,32
885,60,2,15,25,50,18446744073709551615,GuoPibri,33
779,60,2,15,25,50,18446744073709551615,GuoPibri,34
789,60,2,15,25,50,18446744073709551615,GuoPibri,35
731,60,2,15,25,50,18446744073709551615,GuoPibri,36
657,60,2,15,25,50,18446744073709551615,GuoPibri,37
671,60,2,15,25,50,18446744073709551615,GuoPibri,38
660,60,2,15,25,50,18446744073709551615,GuoPibri,39
662,60,2,15,25,50,18446744073709551615,GuoPibri,40
653,60,2,15,25,50,18446744073709551615,GuoPibri,41
664,60,2,15,25,50,18446744073709551615,GuoPibri,42
659,60,2,15,25,50,18446744073709551615,GuoPibri,43
649,60,2,15,25,50,18446744073709551615,GuoPibri,44
646,60,2,15,25,50,18446744073709551615,GuoPibri,45
679,60,2,15,25,50,18446744073709551615,GuoPibri,46
619,60,2,15,25,50,18446744073709551615,GuoPibri,47
610,60,2,15,25,50,18446744073709551615,GuoPibri,48
569,60,2,15,25,50,18446744073709551615,GuoPibri,49
640,60,2,15,25,50,18446744073709551615,GuoPibri,50
650,60,2,15,25,50,18446744073709551615,GuoPibri,51
989,60,2,15,25,50,18446744073709551615,GuoPibri,52
1031,60,2,15,25,50,18446744073709551615,GuoPibri,53
644,60,2,15,25,50,18446744073709551615,GuoPibri,54
626,60,2,15,25,50,18446744073709551615,GuoPibri,55
564,60,2,15,25,50,18446744073709551615,GuoPibri,56
813,60,2,15,25,50,18446744073709551615,GuoPibri,57
827,60,2,15,25,50,18446744073709551615,GuoPibri,58
865,60,2,15,25,50,18446744073709551615,GuoPibri,59
732,60,2,15,25,50,18446744073709551615,GuoPibri,60
686,60,2,15,25,50,18446744073709551615,GuoPibri,61
643,60,2,15,25,50,18446744073709551615,GuoPibri,62
766,60,2,15,25,50,18446744073709551615,GuoPibri,63
772,60,2,15,25,50,18446744073709551615,GuoPibri,64
718,60,2,15,25,50,18446744073709551615,GuoPibri,65
795,60,2,15,25,50,18446744073709551615,GuoPibri,66
658,60,2,15,25,50,18446744073709551615,GuoPibri,67
660,60,2,15,25,50,18446744073709551615,GuoPibri,68
1256,60,2,15,25,50,18446744073709551615,GuoPibri,69
670,60,2,15,25,50,18446744073709551615,GuoPibri,70
667,60,2,15,25,50,18446744073709551615,GuoPibri,71
639,60,2,15,25,50,18446744073709551615,GuoPibri,72
636,60,2,15,25,50,18446744073709551615,GuoPibri,73
636,60,2,15,25,50,18446744073709551615,GuoPibri,74
487,60,2,15,25,50,18446744073709551615,GuoPibri,75
574,60,2,15,25,50,18446744073709551615,GuoPibri,76
749,60,2,15,25,50,18446744073709551615,GuoPibri,77
642,60,2,15,25,50,18446744073709551615,GuoPibri,78
652,60,2,15,25,50,18446744073709551615,GuoPibri,79
657,60,2,15,25,50,18446744073709551615,GuoPibri,80
644,60,2,15,25,50,18446744073709551615,GuoPibri,81
647,60,2,15,25,50,18446744073709551615,GuoPibri,82
618,60,2,15,25,50,18446744073709551615,GuoPibri,83
646,60,2,15,25,50,18446744073709551615,GuoPibri,84
647,60,2,15,25,50,18446744073709551615,GuoPibri,85
650,60,2,15,25,50,18446744073709551615,GuoPibri,86
626,60,2,15,25,50,18446744073709551615,GuoPibri,87
590,60,2,15,25,50,18446744073709551615,GuoPibri,88
631,60,2,15,25,50,18446744073709551615,GuoPibri,89
646,60,2,15,25,50,18446744073709551615,GuoPibri,90
638,60,2,15,25,50,18446744073709551615,GuoPibri,91
644,60,2,15,25,50,18446744073709551615,GuoPibri,92
649,60,2,15,25,50,18446744073709551615,GuoPibri,93
41428,60,2,15,25,50,18446744073709551615,GuoPibri,94
717,60,2,15,25,50,18446744073709551615,GuoPibri,95
687,60,2,15,25,50,18446744073709551615,GuoPibri,96
697,60,2,15,25,50,18446744073709551615,GuoPibri,97
680,60,2,15,25,50,18446744073709551615,GuoPibri,98
878,60,2,15,25,50,18446744073709551615,GuoPibri,99
778,60,2,15,25,50,18446744073709551615,GuoPibri,100
