TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
60016,9960,2,15,25,50,18446744073709551615,LiuPatroLi,1
52346,9960,2,15,25,50,18446744073709551615,LiuPatroLi,2
57153,9960,2,15,25,50,18446744073709551615,LiuPatroLi,3
58092,9960,2,15,25,50,18446744073709551615,LiuPatroLi,4
51319,9960,2,15,25,50,18446744073709551615,LiuPatroLi,5
53395,9960,2,15,25,50,18446744073709551615,LiuPatroLi,6
36694,9960,2,15,25,50,18446744073709551615,LiuPatroLi,7
35507,9960,2,15,25,50,18446744073709551615,LiuPatroLi,8
56885,9960,2,15,25,50,18446744073709551615,LiuPatroLi,9
36218,9960,2,15,25,50,18446744073709551615,LiuPatroLi,10
