TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
26426,9960,2,15,25,1000,18446744073709551615,MAMod,1
26794,9960,2,15,25,1000,18446744073709551615,MAMod,2
23320,9960,2,15,25,1000,18446744073709551615,MAMod,3
20966,9960,2,15,25,1000,18446744073709551615,MAMod,4
18514,9960,2,15,25,1000,18446744073709551615,MAMod,5
19909,9960,2,15,25,1000,18446744073709551615,MAMod,6
22368,9960,2,15,25,1000,18446744073709551615,MAMod,7
19498,9960,2,15,25,1000,18446744073709551615,MAMod,8
18568,9960,2,15,25,1000,18446744073709551615,MAMod,9
27422,9960,2,15,25,1000,18446744073709551615,MAMod,10
