TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
28798,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
26153,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
23927,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
23241,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
23864,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
34997,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
31916,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
31653,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
32625,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
28602,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
