TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
890,60,2,15,25,50,18446744073709551615,SahlinMod,1
774,60,2,15,25,50,18446744073709551615,SahlinMod,2
709,60,2,15,25,50,18446744073709551615,SahlinMod,3
660,60,2,15,25,50,18446744073709551615,SahlinMod,4
684,60,2,15,25,50,18446744073709551615,SahlinMod,5
690,60,2,15,25,50,18446744073709551615,SahlinMod,6
582,60,2,15,25,50,18446744073709551615,SahlinMod,7
623,60,2,15,25,50,18446744073709551615,SahlinMod,8
682,60,2,15,25,50,18446744073709551615,SahlinMod,9
530,60,2,15,25,50,18446744073709551615,SahlinMod,10
655,60,2,15,25,50,18446744073709551615,SahlinMod,11
727,60,2,15,25,50,18446744073709551615,SahlinMod,12
714,60,2,15,25,50,18446744073709551615,SahlinMod,13
721,60,2,15,25,50,18446744073709551615,SahlinMod,14
661,60,2,15,25,50,18446744073709551615,SahlinMod,15
688,60,2,15,25,50,18446744073709551615,SahlinMod,16
748,60,2,15,25,50,18446744073709551615,SahlinMod,17
707,60,2,15,25,50,18446744073709551615,SahlinMod,18
656,60,2,15,25,50,18446744073709551615,SahlinMod,19
707,60,2,15,25,50,18446744073709551615,SahlinMod,20
692,60,2,15,25,50,18446744073709551615,SahlinMod,21
689,60,2,15,25,50,18446744073709551615,SahlinMod,22
711,60,2,15,25,50,18446744073709551615,SahlinMod,23
699,60,2,15,25,50,18446744073709551615,SahlinMod,24
674,60,2,15,25,50,18446744073709551615,SahlinMod,25
691,60,2,15,25,50,18446744073709551615,SahlinMod,26
709,60,2,15,25,50,18446744073709551615,SahlinMod,27
729,60,2,15,25,50,18446744073709551615,SahlinMod,28
749,60,2,15,25,50,18446744073709551615,SahlinMod,29
733,60,2,15,25,50,18446744073709551615,SahlinMod,30
743,60,2,15,25,50,18446744073709551615,SahlinMod,31
731,60,2,15,25,50,18446744073709551615,SahlinMod,32
2097,60,2,15,25,50,18446744073709551615,SahlinMod,33
667,60,2,15,25,50,18446744073709551615,SahlinMod,34
693,60,2,15,25,50,18446744073709551615,SahlinMod,35
696,60,2,15,25,50,18446744073709551615,SahlinMod,36
660,60,2,15,25,50,18446744073709551615,SahlinMod,37
695,60,2,15,25,50,18446744073709551615,SahlinMod,38
