TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
36441,9960,2,15,25,50,18446744073709551615,Shen,1
31119,9960,2,15,25,50,18446744073709551615,Shen,2
26277,9960,2,15,25,50,18446744073709551615,Shen,3
24196,9960,2,15,25,50,18446744073709551615,Shen,4
25601,9960,2,15,25,50,18446744073709551615,Shen,5
35994,9960,2,15,25,50,18446744073709551615,Shen,6
36437,9960,2,15,25,50,18446744073709551615,Shen,7
35882,9960,2,15,25,50,18446744073709551615,Shen,8
36202,9960,2,15,25,50,18446744073709551615,Shen,9
35329,9960,2,15,25,50,18446744073709551615,Shen,10
