TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
55564,9960,2,15,25,50,18446744073709551615,XorVar,1
41769,9960,2,15,25,50,18446744073709551615,XorVar,2
38304,9960,2,15,25,50,18446744073709551615,XorVar,3
52839,9960,2,15,25,50,18446744073709551615,XorVar,4
66703,9960,2,15,25,50,18446744073709551615,XorVar,5
44509,9960,2,15,25,50,18446744073709551615,XorVar,6
44520,9960,2,15,25,50,18446744073709551615,XorVar,7
53981,9960,2,15,25,50,18446744073709551615,XorVar,8
70584,9960,2,15,25,50,18446744073709551615,XorVar,9
59808,9960,2,15,25,50,18446744073709551615,XorVar,10
