TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
28874,9960,2,15,25,50,18446744073709551615,GuoPibri,1
22680,9960,2,15,25,50,18446744073709551615,GuoPibri,2
23754,9960,2,15,25,50,18446744073709551615,GuoPibri,3
22174,9960,2,15,25,50,18446744073709551615,GuoPibri,4
21989,9960,2,15,25,50,18446744073709551615,GuoPibri,5
22745,9960,2,15,25,50,18446744073709551615,GuoPibri,6
25672,9960,2,15,25,50,18446744073709551615,GuoPibri,7
21977,9960,2,15,25,50,18446744073709551615,GuoPibri,8
21562,9960,2,15,25,50,18446744073709551615,GuoPibri,9
24273,9960,2,15,25,50,18446744073709551615,GuoPibri,10
