TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
58809,9960,2,15,25,50,18446744073709551615,LiuPatroLi,1
44109,9960,2,15,25,50,18446744073709551615,LiuPatroLi,2
35196,9960,2,15,25,50,18446744073709551615,LiuPatroLi,3
52468,9960,2,15,25,50,18446744073709551615,LiuPatroLi,4
64646,9960,2,15,25,50,18446744073709551615,LiuPatroLi,5
58767,9960,2,15,25,50,18446744073709551615,LiuPatroLi,6
53061,9960,2,15,25,50,18446744073709551615,LiuPatroLi,7
52198,9960,2,15,25,50,18446744073709551615,LiuPatroLi,8
58092,9960,2,15,25,50,18446744073709551615,LiuPatroLi,9
37537,9960,2,15,25,50,18446744073709551615,LiuPatroLi,10
