TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
23353,9960,2,15,25,1000,18446744073709551615,MAMod,1
23047,9960,2,15,25,1000,18446744073709551615,MAMod,2
19391,9960,2,15,25,1000,18446744073709551615,MAMod,3
21612,9960,2,15,25,1000,18446744073709551615,MAMod,4
18424,9960,2,15,25,1000,18446744073709551615,MAMod,5
19865,9960,2,15,25,1000,18446744073709551615,MAMod,6
19151,9960,2,15,25,1000,18446744073709551615,MAMod,7
20598,9960,2,15,25,1000,18446744073709551615,MAMod,8
29283,9960,2,15,25,1000,18446744073709551615,MAMod,9
25621,9960,2,15,25,1000,18446744073709551615,MAMod,10
