TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
27748,9960,2,15,25,50,18446744073709551615,SahlinBitCount,1
16065,9960,2,15,25,50,18446744073709551615,SahlinBitCount,2
15203,9960,2,15,25,50,18446744073709551615,SahlinBitCount,3
14666,9960,2,15,25,50,18446744073709551615,SahlinBitCount,4
14556,9960,2,15,25,50,18446744073709551615,SahlinBitCount,5
14848,9960,2,15,25,50,18446744073709551615,SahlinBitCount,6
14610,9960,2,15,25,50,18446744073709551615,SahlinBitCount,7
14450,9960,2,15,25,50,18446744073709551615,SahlinBitCount,8
14413,9960,2,15,25,50,18446744073709551615,SahlinBitCount,9
15960,9960,2,15,25,50,18446744073709551615,SahlinBitCount,10
