TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
235326,9960,2,15,25,1000,18446744073709551615,SahlinMod,1
232684,9960,2,15,25,1000,18446744073709551615,SahlinMod,2
228093,9960,2,15,25,1000,18446744073709551615,SahlinMod,3
310250,9960,2,15,25,1000,18446744073709551615,SahlinMod,4
327434,9960,2,15,25,1000,18446744073709551615,SahlinMod,5
428047,9960,2,15,25,1000,18446744073709551615,SahlinMod,6
485051,9960,2,15,25,1000,18446744073709551615,SahlinMod,7
475742,9960,2,15,25,1000,18446744073709551615,SahlinMod,8
347138,9960,2,15,25,1000,18446744073709551615,SahlinMod,9
408096,9960,2,15,25,1000,18446744073709551615,SahlinMod,10
