TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
6980,60,2,15,25,50,18446744073709551615,Shen,1
6402,60,2,15,25,50,18446744073709551615,Shen,2
8699,60,2,15,25,50,18446744073709551615,Shen,3
10465,60,2,15,25,50,18446744073709551615,Shen,4
9913,60,2,15,25,50,18446744073709551615,Shen,5
59568,60,2,15,25,50,18446744073709551615,Shen,6
15293,60,2,15,25,50,18446744073709551615,Shen,7
9083,60,2,15,25,50,18446744073709551615,Shen,8
57909,60,2,15,25,50,18446744073709551615,Shen,9
9721,60,2,15,25,50,18446744073709551615,Shen,10
7759,60,2,15,25,50,18446744073709551615,Shen,11
11959,60,2,15,25,50,18446744073709551615,Shen,12
63299,60,2,15,25,50,18446744073709551615,Shen,13
10029,60,2,15,25,50,18446744073709551615,Shen,14
14348,60,2,15,25,50,18446744073709551615,Shen,15
10433,60,2,15,25,50,18446744073709551615,Shen,16
134083,60,2,15,25,50,18446744073709551615,Shen,17
14684,60,2,15,25,50,18446744073709551615,Shen,18
6392,60,2,15,25,50,18446744073709551615,Shen,19
104353,60,2,15,25,50,18446744073709551615,Shen,20
12377,60,2,15,25,50,18446744073709551615,Shen,21
16409,60,2,15,25,50,18446744073709551615,Shen,22
7578,60,2,15,25,50,18446744073709551615,Shen,23
80911,60,2,15,25,50,18446744073709551615,Shen,24
14513,60,2,15,25,50,18446744073709551615,Shen,25
15329,60,2,15,25,50,18446744073709551615,Shen,26
9994,60,2,15,25,50,18446744073709551615,Shen,27
122299,60,2,15,25,50,18446744073709551615,Shen,28
14744,60,2,15,25,50,18446744073709551615,Shen,29
7741,60,2,15,25,50,18446744073709551615,Shen,30
8821,60,2,15,25,50,18446744073709551615,Shen,31
70938,60,2,15,25,50,18446744073709551615,Shen,32
8713,60,2,15,25,50,18446744073709551615,Shen,33
6094,60,2,15,25,50,18446744073709551615,Shen,34
64364,60,2,15,25,50,18446744073709551615,Shen,35
14272,60,2,15,25,50,18446744073709551615,Shen,36
5997,60,2,15,25,50,18446744073709551615,Shen,37
8266,60,2,15,25,50,18446744073709551615,Shen,38
102246,60,2,15,25,50,18446744073709551615,Shen,39
7996,60,2,15,25,50,18446744073709551615,Shen,40
28599,60,2,15,25,50,18446744073709551615,Shen,41
17686,60,2,15,25,50,18446744073709551615,Shen,42
29438,60,2,15,25,50,18446744073709551615,Shen,43
97463,60,2,15,25,50,18446744073709551615,Shen,44
9231,60,2,15,25,50,18446744073709551615,Shen,45
14234,60,2,15,25,50,18446744073709551615,Shen,46
9260,60,2,15,25,50,18446744073709551615,Shen,47
161533,60,2,15,25,50,18446744073709551615,Shen,48
12403,60,2,15,25,50,18446744073709551615,Shen,49
10834,60,2,15,25,50,18446744073709551615,Shen,50
7390,60,2,15,25,50,18446744073709551615,Shen,51
104030,60,2,15,25,50,18446744073709551615,Shen,52
11001,60,2,15,25,50,18446744073709551615,Shen,53
12599,60,2,15,25,50,18446744073709551615,Shen,54
7238,60,2,15,25,50,18446744073709551615,Shen,55
66802,60,2,15,25,50,18446744073709551615,Shen,56
18128,60,2,15,25,50,18446744073709551615,Shen,57
8684,60,2,15,25,50,18446744073709551615,Shen,58
8515,60,2,15,25,50,18446744073709551615,Shen,59
51525,60,2,15,25,50,18446744073709551615,Shen,60
13252,60,2,15,25,50,18446744073709551615,Shen,61
7785,60,2,15,25,50,18446744073709551615,Shen,62
60706,60,2,15,25,50,18446744073709551615,Shen,63
8814,60,2,15,25,50,18446744073709551615,Shen,64
6595,60,2,15,25,50,18446744073709551615,Shen,65
8395,60,2,15,25,50,18446744073709551615,Shen,66
54762,60,2,15,25,50,18446744073709551615,Shen,67
9231,60,2,15,25,50,18446744073709551615,Shen,68
6453,60,2,15,25,50,18446744073709551615,Shen,69
8815,60,2,15,25,50,18446744073709551615,Shen,70
144016,60,2,15,25,50,18446744073709551615,Shen,71
8994,60,2,15,25,50,18446744073709551615,Shen,72
6722,60,2,15,25,50,18446744073709551615,Shen,73
15886,60,2,15,25,50,18446744073709551615,Shen,74
66407,60,2,15,25,50,18446744073709551615,Shen,75
10409,60,2,15,25,50,18446744073709551615,Shen,76
9847,60,2,15,25,50,18446744073709551615,Shen,77
8130,60,2,15,25,50,18446744073709551615,Shen,78
107341,60,2,15,25,50,18446744073709551615,Shen,79
10706,60,2,15,25,50,18446744073709551615,Shen,80
11452,60,2,15,25,50,18446744073709551615,Shen,81
8579,60,2,15,25,50,18446744073709551615,Shen,82
51476,60,2,15,25,50,18446744073709551615,Shen,83
7518,60,2,15,25,50,18446744073709551615,Shen,84
9631,60,2,15,25,50,18446744073709551615,Shen,85
9427,60,2,15,25,50,18446744073709551615,Shen,86
52968,60,2,15,25,50,18446744073709551615,Shen,87
10525,60,2,15,25,50,18446744073709551615,Shen,88
13311,60,2,15,25,50,18446744073709551615,Shen,89
56319,60,2,15,25,50,18446744073709551615,Shen,90
14134,60,2,15,25,50,18446744073709551615,Shen,91
8690,60,2,15,25,50,18446744073709551615,Shen,92
7601,60,2,15,25,50,18446744073709551615,Shen,93
44558,60,2,15,25,50,18446744073709551615,Shen,94
11414,60,2,15,25,50,18446744073709551615,Shen,95
6241,60,2,15,25,50,18446744073709551615,Shen,96
118011,60,2,15,25,50,18446744073709551615,Shen,97
9529,60,2,15,25,50,18446744073709551615,Shen,98
11943,60,2,15,25,50,18446744073709551615,Shen,99
11893,60,2,15,25,50,18446744073709551615,Shen,100
