TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
35595,9960,2,15,25,50,18446744073709551615,XorVar,1
31648,9960,2,15,25,50,18446744073709551615,XorVar,2
28818,9960,2,15,25,50,18446744073709551615,XorVar,3
28560,9960,2,15,25,50,18446744073709551615,XorVar,4
28456,9960,2,15,25,50,18446744073709551615,XorVar,5
33767,9960,2,15,25,50,18446744073709551615,XorVar,6
35270,9960,2,15,25,50,18446744073709551615,XorVar,7
31700,9960,2,15,25,50,18446744073709551615,XorVar,8
34351,9960,2,15,25,50,18446744073709551615,XorVar,9
29114,9960,2,15,25,50,18446744073709551615,XorVar,10
