kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,31,1089090193197,1
1,934985575618,72,956897102560,1
2,441407419144,74,1016702479872,1
3,666118048802,22,686834017461,1
4,465448939657,58,90761932268,1
5,762284130855,59,363047729074,1
6,850113267871,54,133498524973,1
7,101918188159,53,33374631243,1
8,407672752638,40,369848975857,1
9,531179382778,56,1036464771806,1
10,1025205903338,57,847324203899,1
11,802288730025,71,788980089528,1
12,1010131664551,65,503777537548,1
13,741991774879,34,432539814776,1
14,768943843967,28,721391670812,1
15,876752120317,68,355925197578,1
16,208473597942,61,311205526318,1
17,833894391769,37,194757451271,1
18,37042683748,47,197039772807,1
19,148170734994,48,788159091229,1
20,592682939979,76,874076889096,1
21,171708504365,39,917095964796,1
22,686834017461,31,1089090193197,1
23,548312814293,36,323567269761,1
24,1093739629398,29,686543427698,1
25,1076423634264,75,768275036162,1
26,1007159653729,49,953613109365,1
27,730103731591,48,788159091229,1
28,721391670812,80,562823170302,1
29,686543427698,24,1093739629398,1
30,547150455243,50,515917554133,1
31,1089090193197,70,197245022382,1
32,1057825889463,67,363859206338,1
33,932768674526,64,125944384387,1
34,432539814776,32,1057825889463,1
35,630647631328,23,548312814293,1
36,323567269761,43,580590271572,1
37,194757451271,58,90761932268,1
38,779029805087,25,1076423634264,1
39,917095964796,46,873893664033,1
40,369848975857,38,779029805087,1
41,379884275653,77,197772673059,1
42,420025474837,44,123337830738,1
43,580590271572,56,1036464771806,1
44,123337830738,57,847324203899,1
45,493351322952,66,915598522416,1
46,873893664033,49,953613109365,1
47,197039772807,60,352679288523,1
48,788159091229,26,1007159653729,1
49,953613109365,21,171708504365,1
50,515917554133,47,197039772807,1
51,964158588756,59,363047729074,1
52,558099471698,40,369848975857,1
53,33374631243,74,1016702479872,1
54,133498524973,70,197245022382,1
55,533994099895,73,529053526912,1
56,1036464771806,33,932768674526,1
57,847324203899,67,363859206338,1
58,90761932268,45,493351322952,1

