kmer_1,hash_1,kmer_2,hash_2,Sample
0,153,47,817,1
1,534,80,462,1
2,22,28,883,1
3,50,28,883,1
4,121,38,865,1
5,447,67,542,1
6,714,48,278,1
7,745,32,211,1
8,988,70,993,1
9,923,51,60,1
10,663,73,301,1
11,539,64,449,1
12,85,38,865,1
13,223,46,732,1
14,815,61,174,1
15,190,65,799,1
16,642,73,301,1
17,575,43,421,1
18,186,65,799,1
19,746,61,174,1
20,993,70,993,1
21,902,51,60,1
22,618,57,374,1
23,399,78,554,1
24,561,53,411,1
25,130,72,853,1
26,401,78,554,1
27,490,80,462,1
28,883,51,60,1
29,463,59,521,1
30,778,61,174,1
31,82,72,853,1
32,211,62,656,1
33,726,61,174,1
34,790,61,174,1
35,129,72,853,1
36,437,78,554,1
37,714,61,174,1
38,865,76,126,1
39,389,78,554,1
40,440,78,554,1
41,724,74,167,1
42,863,76,126,1
43,421,78,554,1
44,609,77,387,1
45,442,78,554,1
46,732,74,167,1
47,817,74,167,1
48,278,78,554,1
49,36,72,853,1
50,25,72,853,1
51,60,72,853,1
52,122,78,554,1
53,411,78,554,1
54,648,79,145,1
55,601,77,387,1
56,372,78,554,1
57,374,78,554,1
58,379,80,462,1

