kmer_1,hash_1,kmer_2,hash_2,kmer_3,hash_3,Sample
0,765138874,23,535461732,47,192421653,1
1,913071851,21,167684086,53,32592413,1
2,431061932,22,670736345,53,32592413,1
3,650505907,23,535461732,54,130369653,1
4,454539980,22,670736345,53,32592413,1
5,744418096,34,422402162,62,141904763,1
6,830188738,30,534326616,61,303911646,1
7,99529480,26,983554349,53,32592413,1
8,398117922,28,704484053,58,88634699,1
9,518729865,35,615866827,58,88634699,1
10,1001177639,37,190192823,70,192622092,1
11,783485087,36,315983661,64,122992562,1
12,986456703,37,190192823,70,192622092,1
13,724601342,40,361180640,64,122992562,1
14,750921722,36,315983661,64,122992562,1
15,856203242,37,190192823,64,122992562,1
16,203587497,46,853411781,64,122992562,1
17,814349991,47,192421653,64,122992562,1
18,36174495,39,895601528,77,193137376,1
19,144697983,49,931262802,77,193137376,1
20,578791933,45,481788401,70,192622092,1
21,167684086,49,931262802,81,51044360,1
22,670736345,42,410181127,81,51044360,1
23,535461732,52,545019015,81,51044360,1
24,1068105106,53,32592413,81,51044360,1
25,1051194955,53,32592413,84,45613631,1
26,983554349,44,120447100,84,45613631,1
27,712991925,45,481788401,77,193137376,1
28,704484053,50,503825736,85,182454526,1
29,670452566,45,481788401,84,45613631,1
30,534326616,52,545019015,84,45613631,1
31,1063564641,53,32592413,81,51044360,1
32,1033033095,53,32592413,81,51044360,1
33,910906908,62,141904763,81,51044360,1
34,422402162,52,545019015,84,45613631,1
35,615866827,55,521478613,84,45613631,1
36,315983661,63,567619052,82,204177443,1
37,190192823,66,894139182,84,45613631,1
38,760771294,61,303911646,84,45613631,1

