kmer_1,hash_1,kmer_2,hash_2,Sample
0,153,47,817,1
1,534,70,993,1
2,22,21,902,1
3,50,21,902,1
4,121,38,865,1
5,447,70,993,1
6,714,48,278,1
7,745,32,211,1
8,988,70,993,1
9,923,51,60,1
10,663,73,301,1
11,539,64,449,1
12,85,21,902,1
13,223,46,732,1
14,815,61,174,1
15,190,65,799,1
16,642,73,301,1
17,575,43,421,1
18,186,65,799,1
19,746,32,211,1
20,993,70,993,1
21,902,31,82,1
22,618,70,993,1
23,399,24,561,1
24,561,43,421,1
25,130,38,865,1
26,401,24,561,1
27,490,70,993,1
28,883,31,82,1
29,463,59,521,1
30,778,32,211,1
31,82,21,902,1
32,211,30,778,1
33,726,32,211,1
34,790,61,174,1
35,129,38,865,1
36,437,78,554,1
37,714,48,278,1
38,865,25,130,1
39,389,55,601,1
40,440,78,554,1
41,724,32,211,1
42,863,25,130,1
43,421,24,561,1
44,609,77,387,1
45,442,78,554,1
46,732,32,211,1
47,817,61,174,1
48,278,37,714,1
49,36,21,902,1
50,25,21,902,1
51,60,21,902,1
52,122,38,865,1
53,411,24,561,1
54,648,73,301,1
55,601,39,389,1
56,372,22,618,1
57,374,22,618,1
58,379,70,993,1

