kmer_1,hash_1,kmer_2,hash_2,Sample
0,765138874,31,1063564641,1
1,913071851,45,481788401,1
2,431061932,46,853411781,1
3,650505907,47,192421653,1
4,454539980,52,545019015,1
5,744418096,53,32592413,1
6,830188738,54,130369653,1
7,99529480,37,190192823,1
8,398117922,38,760771294,1
9,518729865,56,1012172628,1
10,1001177639,57,827465042,1
11,783485087,58,88634699,1
12,986456703,59,354538797,1
13,724601342,60,344413367,1
14,750921722,59,354538797,1
15,856203242,53,32592413,1
16,203587497,49,931262802,1
17,814349991,50,503825736,1
18,36174495,56,1012172628,1
19,144697983,57,827465042,1
20,578791933,65,491970251,1
21,167684086,59,354538797,1
22,670736345,60,344413367,1
23,535461732,52,545019015,1
24,1068105106,62,141904763,1
25,1051194955,63,567619052,1
26,983554349,64,122992562,1
27,712991925,65,491970251,1
28,704484053,66,894139182,1
29,670452566,59,354538797,1
30,534326616,60,344413367,1
31,1063564641,61,303911646,1
32,1033033095,62,141904763,1
33,910906908,62,141904763,1
34,422402162,63,567619052,1
35,615866827,70,192622092,1
36,315983661,71,770488368,1
37,190192823,73,516653834,1
38,760771294,74,992873515,1
39,895601528,75,750268590,1
40,361180640,84,45613631,1
41,370980737,85,182454526,1
42,410181127,86,729818106,1
43,566982687,68,347583200,1
44,120447100,88,939671471,1
45,481788401,89,537460415,1
46,853411781,90,2358014,1
47,192421653,72,934469826,1
48,769686612,73,516653834,1
49,931262802,92,37728229,1
50,503825736,75,750268590,1
51,941561121,85,182454526,1
52,545019015,77,193137376,1
53,32592413,78,772549504,1
54,130369653,79,942714368,1
55,521478613,80,549632002,1
56,1012172628,81,51044360,1
57,827465042,91,9432057,1
58,88634699,92,37728229,1
59,354538797,86,729818106,1
60,344413367,94,603651677,1
61,303911646,95,267123060,1
62,141904763,96,1068492240,1
63,567619052,100,803590163,1
64,122992562,101,1066877005,1
65,491970251,102,1046282549,1
66,894139182,103,963904725,1
67,355331256,104,634393428,1
68,347583200,105,390090066,1
69,316590979,106,486618440,1
70,192622092,107,872731937,1
71,770488368,108,269702278,1
72,934469826,109,5067289,1
73,516653834,110,20269157,1
74,992873515,104,634393428,1
75,750268590,112,324306521,1
76,853590712,113,223484262,1
77,193137376,114,893937049,1
78,772549504,115,354522726,1
79,942714368,116,344349082,1
80,549632002,117,303654504,1
81,51044360,111,81076630,1
82,204177443,112,324306521,1
83,816709775,113,223484262,1
84,45613631,114,893937049,1
85,182454526,119,563504773,1
86,729818106,120,106535447,1
87,771788779,121,426141789,1
88,939671471,131,98468378,1
89,537460415,132,393873515,1
90,2358014,133,501752236,1
91,9432057,130,561488006,1
92,37728229,131,98468378,1
93,150912919,125,644373992,1
94,603651677,126,430012320,1
95,267123060,127,646307458,1
96,1068492240,132,393873515,1
97,1052743488,133,501752236,1
98,989748481,145,740371942,1
99,737768452,135,511843010,1
100,803590163,147,34791016,1
101,1066877005,146,814004122,1
102,1046282549,147,34791016,1
103,963904725,147,34791016,1
104,634393428,137,673295393,1
105,390090066,138,545697924,1
106,486618440,151,316565511,1
107,872731937,143,448926430,1
108,269702278,144,721963897,1
109,5067289,145,740371942,1
110,20269157,146,814004122,1
111,81076630,144,721963897,1
112,324306521,145,740371942,1
113,223484262,149,556656256,1
114,893937049,150,79141377,1
115,354522726,151,316565511,1
116,344349082,152,192520221,1
117,303654504,153,770080884,1
118,140876193,154,932839891,1
119,563504773,155,510134092,1
120,106535447,156,966794544,1
121,426141789,160,538783970,1
122,630825335,147,34791016,1
123,375817694,148,139164064,1
124,429528954,149,556656256,1
125,644373992,150,79141377,1
126,430012320,151,316565511,1
127,646307458,152,192520221,1
128,437746184,153,770080884,1
129,677242913,154,932839891,1
130,561488006,176,638135161,1
131,98468378,177,405056997,1
132,393873515,178,546486166,1
133,501752236,179,38461017,1
134,933267120,180,153844071,1
135,511843010,181,615376284,1
136,973630216,182,314021490,1
137,673295393,183,182344138,1
138,545697924,184,729376552,1
139,35308050,185,770022561,1
140,141232203,186,932606596,1
141,564928813,187,509200912,1
142,112231607,188,963061826,1
143,448926430,181,615376284,1
144,721963897,178,546486166,1
145,740371942,179,38461017,1
146,814004122,180,153844071,1
147,34791016,181,615376284,1
148,139164064,182,314021490,1
149,556656256,183,182344138,1
150,79141377,184,729376552,1
151,316565511,185,770022561,1
152,192520221,194,847522288,1
153,770080884,195,168863683,1
154,932839891,196,675454732,1
155,510134092,197,554335280,1
156,966794544,198,69857473,1
157,645952707,187,509200912,1
158,436327182,185,770022561,1
159,671566904,195,168863683,1
160,538783970,190,376603689,1
161,7652234,197,554335280,1
162,30608938,198,69857473,1
163,122435753,199,279429893,1
164,489743014,200,43977749,1
165,885230232,201,175910996,1
166,319695456,205,1009800238,1
167,205040002,206,817975483,1
168,820160009,207,50676462,1
169,59414564,209,810823393,1
170,237658258,209,810823393,1
171,950633034,197,554335280,1
172,581306667,198,69857473,1
173,177743021,211,88272403,1
174,710972087,223,326073448,1
175,696404702,220,944618993,1
176,638135161,221,557250502,1
177,405056997,222,81518362,1
178,546486166,223,326073448,1
179,38461017,228,1039245490,1
180,153844071,225,922207874,1
181,615376284,226,467606027,1
182,314021490,227,796682284,1
183,182344138,232,832615088,1
184,729376552,233,109234883,1
185,770022561,234,436939534,1
186,932606596,235,674016315,1
187,509200912,236,548581613,1
188,963061826,237,46842805,1
189,631021834,238,187371221,1
190,376603689,239,749484887,1
191,432672935,219,773025660,1
192,656949919,220,944618993,1
193,480316028,221,557250502,1
194,847522288,222,81518362,1
195,168863683,223,326073448,1
196,675454732,224,230551968,1
197,554335280,225,922207874,1
198,69857473,226,467606027,1
199,279429893,227,796682284,1
200,43977749,228,1039245490,1
201,175910996,233,109234883,1
202,703643984,234,436939534,1
