kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,47,197039772807,1
1,934985575618,80,562823170302,1
2,441407419144,28,721391670812,1
3,666118048802,28,721391670812,1
4,465448939657,38,779029805087,1
5,762284130855,67,363859206338,1
6,850113267871,48,788159091229,1
7,101918188159,32,1057825889463,1
8,407672752638,70,197245022382,1
9,531179382778,51,964158588756,1
10,1025205903338,73,529053526912,1
11,802288730025,64,125944384387,1
12,1010131664551,38,779029805087,1
13,741991774879,46,873893664033,1
14,768943843967,61,311205526318,1
15,876752120317,65,503777537548,1
16,208473597942,73,529053526912,1
17,833894391769,43,580590271572,1
18,37042683748,65,503777537548,1
19,148170734994,61,311205526318,1
20,592682939979,70,197245022382,1
21,171708504365,51,964158588756,1
22,686834017461,57,847324203899,1
23,548312814293,78,791090692239,1
24,1093739629398,53,33374631243,1
25,1076423634264,72,956897102560,1
26,1007159653729,78,791090692239,1
27,730103731591,80,562823170302,1
28,721391670812,51,964158588756,1
29,686543427698,59,363047729074,1
30,547150455243,61,311205526318,1
31,1089090193197,72,956897102560,1
32,1057825889463,62,145310477496,1
33,932768674526,61,311205526318,1
34,432539814776,61,311205526318,1
35,630647631328,72,956897102560,1
36,323567269761,78,791090692239,1
37,194757451271,61,311205526318,1
38,779029805087,76,874076889096,1
39,917095964796,78,791090692239,1
40,369848975857,78,791090692239,1
41,379884275653,74,1016702479872,1
42,420025474837,76,874076889096,1
43,580590271572,78,791090692239,1
44,123337830738,77,197772673059,1
45,493351322952,78,791090692239,1
46,873893664033,74,1016702479872,1
47,197039772807,74,1016702479872,1
48,788159091229,78,791090692239,1
49,953613109365,72,956897102560,1
50,515917554133,72,956897102560,1
51,964158588756,72,956897102560,1
52,558099471698,78,791090692239,1
53,33374631243,78,791090692239,1
54,133498524973,79,965339513407,1
55,533994099895,77,197772673059,1
56,1036464771806,78,791090692239,1
57,847324203899,78,791090692239,1
58,90761932268,80,562823170302,1

