kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,69,324189162539,1
1,934985575618,56,1036464771806,1
2,441407419144,57,847324203899,1
3,666118048802,70,197245022382,1
4,465448939657,64,125944384387,1
5,762284130855,70,197245022382,1
6,850113267871,44,123337830738,1
7,101918188159,54,133498524973,1
8,407672752638,53,33374631243,1
9,531179382778,54,133498524973,1
10,1025205903338,55,533994099895,1
11,802288730025,77,197772673059,1
12,1010131664551,78,791090692239,1
13,741991774879,79,965339513407,1
14,768943843967,46,873893664033,1
15,876752120317,55,533994099895,1
16,208473597942,55,533994099895,1
17,833894391769,55,533994099895,1
18,37042683748,77,197772673059,1
19,148170734994,79,965339513407,1
20,592682939979,80,562823170302,1
21,171708504365,50,515917554133,1
22,686834017461,51,964158588756,1
23,548312814293,55,533994099895,1
24,1093739629398,63,581241909984,1
25,1076423634264,64,125944384387,1
26,1007159653729,49,953613109365,1
27,730103731591,50,515917554133,1
28,721391670812,51,964158588756,1
29,686543427698,51,964158588756,1
30,547150455243,51,964158588756,1
31,1089090193197,53,33374631243,1
32,1057825889463,67,363859206338,1
33,932768674526,68,355925197578,1
34,432539814776,70,197245022382,1
35,630647631328,64,125944384387,1
36,323567269761,70,197245022382,1
37,194757451271,69,324189162539,1
38,779029805087,68,355925197578,1
39,917095964796,69,324189162539,1
40,369848975857,61,311205526318,1
41,379884275653,62,145310477496,1
42,420025474837,67,363859206338,1
43,580590271572,68,355925197578,1
44,123337830738,69,324189162539,1
45,493351322952,70,197245022382,1
46,873893664033,67,363859206338,1
47,197039772807,68,355925197578,1
48,788159091229,77,197772673059,1
49,953613109365,74,1016702479872,1
50,515917554133,71,788980089528,1
51,964158588756,73,529053526912,1
52,558099471698,76,874076889096,1
53,33374631243,77,197772673059,1
54,133498524973,80,562823170302,1
55,533994099895,77,197772673059,1
56,1036464771806,77,197772673059,1
57,847324203899,80,562823170302,1
58,90761932268,80,562823170302,1

