kmer_1,hash_1,kmer_2,hash_2,Sample
0,60208,69,3115,1
1,44226,56,21214,1
2,45832,57,19323,1
3,52258,70,12462,1
4,12425,64,52099,1
5,49703,70,12462,1
6,2207,44,61778,1
7,8831,54,54573,1
8,35326,53,30027,1
9,10234,54,54573,1
10,40938,55,21687,1
11,32681,77,32803,1
12,65191,78,143,1
13,64159,79,575,1
14,60031,46,5409,1
15,43517,55,21687,1
16,42998,55,21687,1
17,40921,55,21687,1
18,32612,77,32803,1
19,64914,79,575,1
20,63051,80,2302,1
21,55597,50,8661,1
22,25781,51,34644,1
23,37589,55,21687,1
24,19286,63,45792,1
25,11608,64,52099,1
26,46433,49,18549,1
27,54663,50,8661,1
28,22044,51,34644,1
29,22642,51,34644,1
30,25035,51,34644,1
31,34605,53,30027,1
32,7351,67,57538,1
33,29406,68,33546,1
34,52088,70,12462,1
35,11744,64,52099,1
36,46977,70,12462,1
37,56839,69,3115,1
38,30751,68,33546,1
39,57468,69,3115,1
40,33265,61,31534,1
41,1989,62,60600,1
42,7957,67,57538,1
43,31828,68,33546,1
44,61778,69,3115,1
45,50504,70,12462,1
46,5409,67,57538,1
47,21639,68,33546,1
48,21021,77,32803,1
49,18549,74,44544,1
50,8661,71,49848,1
51,34644,73,11136,1
52,7506,76,57352,1
53,30027,77,32803,1
54,54573,80,2302,1
55,21687,77,32803,1
56,21214,77,32803,1
57,19323,80,2302,1
58,11756,80,2302,1

