kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,61,311205526318,1
1,934985575618,62,145310477496,1
2,441407419144,29,686543427698,1
3,666118048802,34,432539814776,1
4,465448939657,35,630647631328,1
5,762284130855,36,323567269761,1
6,850113267871,77,197772673059,1
7,101918188159,74,1016702479872,1
8,407672752638,75,768275036162,1
9,531179382778,63,581241909984,1
10,1025205903338,58,90761932268,1
11,802288730025,61,311205526318,1
12,1010131664551,58,90761932268,1
13,741991774879,60,352679288523,1
14,768943843967,61,311205526318,1
15,876752120317,62,145310477496,1
16,208473597942,46,873893664033,1
17,833894391769,70,197245022382,1
18,37042683748,56,1036464771806,1
19,148170734994,72,956897102560,1
20,592682939979,65,503777537548,1
21,171708504365,49,953613109365,1
22,686834017461,45,493351322952,1
23,548312814293,52,558099471698,1
24,1093739629398,53,33374631243,1
25,1076423634264,53,33374631243,1
26,1007159653729,58,90761932268,1
27,730103731591,59,363047729074,1
28,721391670812,60,352679288523,1
29,686543427698,65,503777537548,1
30,547150455243,52,558099471698,1
31,1089090193197,53,33374631243,1
32,1057825889463,53,33374631243,1
33,932768674526,62,145310477496,1
34,432539814776,80,562823170302,1
35,630647631328,73,529053526912,1
36,323567269761,71,788980089528,1
37,194757451271,66,915598522416,1
38,779029805087,69,324189162539,1
39,917095964796,77,197772673059,1
40,369848975857,78,791090692239,1
41,379884275653,71,788980089528,1
42,420025474837,63,581241909984,1
43,580590271572,73,529053526912,1
44,123337830738,79,965339513407,1
45,493351322952,80,562823170302,1
46,873893664033,70,197245022382,1
47,197039772807,72,956897102560,1
48,788159091229,69,324189162539,1
49,953613109365,70,197245022382,1
50,515917554133,80,562823170302,1
51,964158588756,77,197772673059,1
52,558099471698,73,529053526912,1
53,33374631243,74,1016702479872,1
54,133498524973,79,965339513407,1
55,533994099895,80,562823170302,1
56,1036464771806,77,197772673059,1
57,847324203899,78,791090692239,1
58,90761932268,79,965339513407,1

