kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,71,788980089528,1
1,934985575618,33,932768674526,1
2,441407419144,34,432539814776,1
3,666118048802,29,686543427698,1
4,465448939657,34,432539814776,1
5,762284130855,75,768275036162,1
6,850113267871,57,847324203899,1
7,101918188159,58,90761932268,1
8,407672752638,41,379884275653,1
9,531179382778,73,529053526912,1
10,1025205903338,74,1016702479872,1
11,802288730025,78,791090692239,1
12,1010131664551,74,1016702479872,1
13,741991774879,78,791090692239,1
14,768943843967,75,768275036162,1
15,876752120317,46,873893664033,1
16,208473597942,62,145310477496,1
17,833894391769,57,847324203899,1
18,37042683748,53,33374631243,1
19,148170734994,62,145310477496,1
20,592682939979,52,558099471698,1
21,171708504365,62,145310477496,1
22,686834017461,63,581241909984,1
23,548312814293,55,533994099895,1
24,1093739629398,56,1036464771806,1
25,1076423634264,56,1036464771806,1
26,1007159653729,74,1016702479872,1
27,730103731591,78,791090692239,1
28,721391670812,71,788980089528,1
29,686543427698,63,581241909984,1
30,547150455243,55,533994099895,1
31,1089090193197,56,1036464771806,1
32,1057825889463,56,1036464771806,1
33,932768674526,72,956897102560,1
34,432539814776,65,503777537548,1
35,630647631328,80,562823170302,1
36,323567269761,69,324189162539,1
37,194757451271,70,197245022382,1
38,779029805087,71,788980089528,1
39,917095964796,66,915598522416,1
40,369848975857,67,363859206338,1
41,379884275653,68,355925197578,1
42,420025474837,65,503777537548,1
43,580590271572,80,562823170302,1
44,123337830738,70,197245022382,1
45,493351322952,73,529053526912,1
46,873893664033,76,874076889096,1
47,197039772807,70,197245022382,1
48,788159091229,71,788980089528,1
49,953613109365,72,956897102560,1
50,515917554133,73,529053526912,1
51,964158588756,79,965339513407,1
52,558099471698,80,562823170302,1
53,33374631243,77,197772673059,1
54,133498524973,77,197772673059,1
55,533994099895,77,197772673059,1
56,1036464771806,79,965339513407,1
57,847324203899,79,965339513407,1
58,90761932268,80,562823170302,1

