kmer_1,hash_1,kmer_2,hash_2,Sample
0,153,72,853,1
1,534,29,463,1
2,22,71,981,1
3,50,71,981,1
4,121,28,883,1
5,447,75,550,1
6,714,73,301,1
7,745,48,278,1
8,988,50,25,1
9,923,31,82,1
10,663,56,372,1
11,539,80,462,1
12,85,71,981,1
13,223,34,790,1
14,815,48,278,1
15,190,47,817,1
16,642,56,372,1
17,575,40,440,1
18,186,47,817,1
19,746,48,278,1
20,993,50,25,1
21,902,52,122,1
22,618,58,379,1
23,399,55,601,1
24,561,45,442,1
25,130,71,981,1
26,401,55,601,1
27,490,69,507,1
28,883,52,122,1
29,463,67,542,1
30,778,73,301,1
31,82,71,981,1
32,211,65,799,1
33,726,73,301,1
34,790,73,301,1
35,129,71,981,1
36,437,63,630,1
37,714,73,301,1
38,865,68,136,1
39,389,63,630,1
40,440,63,630,1
41,724,73,301,1
42,863,68,136,1
43,421,65,799,1
44,609,80,462,1
45,442,72,853,1
46,732,73,301,1
47,817,73,301,1
48,278,72,853,1
49,36,71,981,1
50,25,71,981,1
51,60,76,126,1
52,122,76,126,1
53,411,76,126,1
54,648,77,387,1
55,601,80,462,1
56,372,79,145,1
57,374,79,145,1
58,379,79,145,1

